questionNo,questionAqua,questionSmall,question,markScheme,score,Topics
11,a,," Describe what is meant by the following terms
","Use of W = mg (1)  
State or use resultant force = upward force – weight (1)  
6
Correct answer to at least 2 s.f. [4.2 x 10 N] (1)  [no ue] 3 
Example of calculation 
W = mg 
6 -2
W = 3.04 x 10 kg x 9.81 kg m s 
7
= 2.98 x 10 N 
7 7 6
",2,
11,b,," A cricket bat made of wood is found to have a dent after striking a cricket ball.
  State the type of behaviour shown by the material of the cricket bat.
","Use of F = ma (1)  
-2
Correct answer [1.38 m s ] (1)  [ecf] 2 
Example of calculation 
a = F/m 
6 6
= 4.2 x 10 N / 3.04 x 10 kg 
-2
",1,
12,,,"12 The photograph shows some smoke rising","limit of proportionality – stress proportional to strain / obeys Hooke’s  
law / Force proportional to extension up to this point (1)  
tensile strength – greatest stress before fracturing (1)  
yield point – point at which plastic deformation begins / point at  
which material shows a larger increase in strain for a smaller increase  
",3,
12,,,"12 = 4 marks)","limit of proportionality – stress proportional to strain / obeys Hooke’s  
law / Force proportional to extension up to this point (1)  
tensile strength – greatest stress before fracturing (1)  
yield point – point at which plastic deformation begins / point at  
which material shows a larger increase in strain for a smaller increase  
",3,
13,a,," The wood sample breaks at X when the total suspended mass is 84 kg.  The 
–5 2
cross-sectional area at X is 1.3 × 10 m .
7
  Show that the ultimate tensile strength is about 6 × 10 Pa.
","laminar flow – no abrupt change in direction or speed of flow /air  
flows in layers/flowlines/streamlines with no mixing (1)  
turbulent flow – mixing of layers / contains eddies / abrupt changes in  
",3,
13,b,," Explain why this method of testing may produce a larger value than the true ultimate 
tensile strength.
","laminar flow shown - at least 3 continuous lines (1)  
",2,
13,c,," Explain why the wood sample used for this test has the shape shown.
","(smaller area of turbulent flow Æ ) less resistive force (1)  
Less kinetic energy dissipated / kinetic energy dissipated at lower  
rate / less work done against air resistance / less deceleration (1) 2 
 Total for question 6 
Question Answer Mark 
",2,
13,d,," Samples of wood of the same type are not entirely uniform.  What should be done to 
ensure reliable results are obtained when carrying out this test?
","Repeat and average / repeat and identify anomalies / repeat to check (1) (1) 
 Total for question 8 
 PMT
Question Answer Mark 
Number 
",1,
14,a,," Show that the work done by the horse in turning the wheel through one revolution 
was about 20 000 J.
","reference to constant velocity OR rest and uniform motion in a  
straight line (1) 2 
reference to zero resultant force / unbalanced force (1) 
",3,
14,b,," Calculate the average power of the horse in SI units.
","(ii)   
",3,
